id;placed_date;status;code
1;2021-09-01T09:16:29;COMPLETED;Electronics
2;2021-09-01T03:38:28;COMPLETED;payment PCI violet
3;2021-09-01T14:07:21;CANCELLED;background out-of-the-box withdrawal
4;2021-08-31T18:10:22;COMPLETED;Music real-time
5;2021-09-01T02:14:31;CANCELLED;Hat
6;2021-09-01T14:59:19;PENDING;solid navigating
7;2021-09-01T00:55:05;PENDING;Toys maroon
8;2021-09-01T13:44:39;COMPLETED;Developer
9;2021-08-31T21:13:03;COMPLETED;Credit Soft Cotton
10;2021-09-01T11:55:39;CANCELLED;contingency Bedfordshire
